Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,150,112,203,12,58,15,39,323,219,215,107,170
2,328,278,322,108,275,360,297,27,17,128,214,90
3,42,54,220,104,166,245,109,3,226,103,232,56
4,28,168,47,280,172,207,92,313,356,79,339,250
5,338,96,266,254,292,230,139,63,354,86,223,31
6,36,271,1,88,337,87,132,208,173,41,211,336
7,111,154,2,163,145,251,285,57,144,129,299,267
8,206,347,153,50,201,282,355,131,97,157,312,210
9,197,136,321,234,276,83,179,7,364,116,151,120
10,37,361,331,272,100,178,89,249,217,342,257,73
11,174,26,239,350,307,64,202,125,334,319,159,82
12,126,195,44,23,115,190,340,198,43,171,66,85
13,298,263,244,169,49,318,306,329,229,269,124,335
14,341,348,117,81,224,95,305,205,353,14,237,38
15,221,308,152,343,165,16,359,241,235,277,176,137
16,309,227,94,119,101,32,74,19,225,59,209,187
17,231,46,363,183,273,91,199,8,189,177,284,294
18,72,11,357,242,98,238,121,113,289,192,160,13
19,303,127,358,158,148,52,332,105,228,167,270,168
20,161,106,262,314,274,77,33,162,141,352,301,149
21,99,316,300,4,310,315,5,30,123,288,287,80
22,259,20,317,264,333,146,286,140,268,191,102,188
23,258,247,22,279,216,212,365,302,296,193,320,252
24,62,261,71,362,246,61,324,138,236,256,180,155
25,243,260,65,255,122,143,35,290,291,9,25,6
26,311,51,24,233,118,345,204,76,29,78,344,351
27,110,186,181,265,293,330,60,34,248,325,135,194
28,304,295,45,55,18,53,185,40,70,327,130,156
29,283,----,21,93,133,75,222,84,196,349,147,175
30,114,----,213,69,48,142,200,182,184,346,134,281
31,240,----,326,----,67,----,253,218,----,10,----,164
