day,month,year,apn,drafted
1,Jan,1970,305,N
1,Feb,1970,86,Y
1,Mar,1970,108,Y
1,Apr,1970,32,Y
1,May,1970,330,N
1,Jun,1970,249,N
1,Jul,1970,93,Y
1,Aug,1970,111,Y
1,Sep,1970,225,N
1,Oct,1970,359,N
1,Nov,1970,19,Y
1,Dec,1970,129,Y
2,Jan,1970,159,Y
2,Feb,1970,144,Y
2,Mar,1970,29,Y
2,Apr,1970,271,N
2,May,1970,298,N
2,Jun,1970,228,N
2,Jul,1970,350,N
2,Aug,1970,45,Y
2,Sep,1970,161,Y
2,Oct,1970,125,Y
2,Nov,1970,34,Y
2,Dec,1970,328,N
3,Jan,1970,251,N
3,Feb,1970,297,N
3,Mar,1970,267,N
3,Apr,1970,83,Y
3,May,1970,40,Y
3,Jun,1970,301,N
3,Jul,1970,115,Y
3,Aug,1970,261,N
3,Sep,1970,49,Y
3,Oct,1970,244,N
3,Nov,1970,348,N
3,Dec,1970,157,Y
4,Jan,1970,215,N
4,Feb,1970,210,N
4,Mar,1970,275,N
4,Apr,1970,81,Y
4,May,1970,276,N
4,Jun,1970,20,Y
4,Jul,1970,279,N
4,Aug,1970,145,Y
4,Sep,1970,232,N
4,Oct,1970,202,N
4,Nov,1970,266,N
4,Dec,1970,165,Y
5,Jan,1970,101,Y
5,Feb,1970,214,N
5,Mar,1970,293,N
5,Apr,1970,269,N
5,May,1970,364,N
5,Jun,1970,28,Y
5,Jul,1970,188,Y
5,Aug,1970,54,Y
5,Sep,1970,82,Y
5,Oct,1970,24,Y
5,Nov,1970,310,N
5,Dec,1970,56,Y
6,Jan,1970,224,N
6,Feb,1970,347,N
6,Mar,1970,139,Y
6,Apr,1970,253,N
6,May,1970,155,Y
6,Jun,1970,110,Y
6,Jul,1970,327,N
6,Aug,1970,114,Y
6,Sep,1970,6,Y
6,Oct,1970,87,Y
6,Nov,1970,76,Y
6,Dec,1970,10,Y
7,Jan,1970,306,N
7,Feb,1970,91,Y
7,Mar,1970,122,Y
7,Apr,1970,147,Y
7,May,1970,35,Y
7,Jun,1970,85,Y
7,Jul,1970,50,Y
7,Aug,1970,168,Y
7,Sep,1970,8,Y
7,Oct,1970,234,N
7,Nov,1970,51,Y
7,Dec,1970,12,Y
8,Jan,1970,199,N
8,Feb,1970,181,Y
8,Mar,1970,213,N
8,Apr,1970,312,N
8,May,1970,321,N
8,Jun,1970,366,N
8,Jul,1970,13,Y
8,Aug,1970,48,Y
8,Sep,1970,184,Y
8,Oct,1970,283,N
8,Nov,1970,97,Y
8,Dec,1970,105,Y
9,Jan,1970,194,Y
9,Feb,1970,338,N
9,Mar,1970,317,N
9,Apr,1970,219,N
9,May,1970,197,N
9,Jun,1970,335,N
9,Jul,1970,277,N
9,Aug,1970,106,Y
9,Sep,1970,263,N
9,Oct,1970,342,N
9,Nov,1970,80,Y
9,Dec,1970,43,Y
10,Jan,1970,325,N
10,Feb,1970,216,N
10,Mar,1970,323,N
10,Apr,1970,218,N
10,May,1970,65,Y
10,Jun,1970,206,N
10,Jul,1970,284,N
10,Aug,1970,21,Y
10,Sep,1970,71,Y
10,Oct,1970,220,N
10,Nov,1970,282,N
10,Dec,1970,41,Y
11,Jan,1970,329,N
11,Feb,1970,150,Y
11,Mar,1970,136,Y
11,Apr,1970,14,Y
11,May,1970,37,Y
11,Jun,1970,134,Y
11,Jul,1970,248,N
11,Aug,1970,324,N
11,Sep,1970,158,Y
11,Oct,1970,237,N
11,Nov,1970,46,Y
11,Dec,1970,39,Y
12,Jan,1970,221,N
12,Feb,1970,68,Y
12,Mar,1970,300,N
12,Apr,1970,346,N
12,May,1970,133,Y
